headword,definition
goodwife,a housewife
goodwill,reputation of a business (as an asset) | a helpful attitude
goody two shoes,an affectedly self-righteous person
goody#1,a delicacy smth sweet | a delicacy | smth sweeta |
goody#2,humble old woman
goody-goody,an affectedly self-righteous person
gooey,sticky | effusively emotional too sentimental
goof,a mistake | to make a mistake | a stupid person | to make a mistakeb
goofball,a stupid person; a sleeping pill
goofy,foolish silly
goofyfoolish silly,goofier | goofiestb
gook,sticky substance
goon,a hired thug | a stupid person
goop#1,a stupid person
goop#2,thick and viscous matter
goose,to poke (smo) in the bottom; to invigorate (US) | the female of such a bird | foolish person | web-footed migratory aquatic bird
goose flesh,goose bumps
goose skin,goose bumps
goosefoolish person,geeseb
goosefoot,type of weeds
goosethe female of such a bird,geeseb
gooseweb-footed migratory aquatic bird,geeseb
goosey,foolish | resembling a goose
gooseyfoolish,goosyb
gooseyresembling a goose,goosyb
gopher,gophering
Gordian,extremely complex | extremely complexD |
gore,coagulated blood from a wound | to stab with a horn | coagulated blood from a woundD
gorge,throat gullet | gluttonous eating | deep ravine; deep narrow passage | gluttonous eatingD | to glut | to eat gluttonouslyD | deep ravine; deep narrow passageD
gorgon,any of three monsters with snakes for hair
gorgonian,corals with a branching skeleton | corals with a branching skeletonY
gorgonize,to paralyze to stupefy
Gorky,Maxim Gorky Russian novelist and playwright (1868-1936)
gormandize,to gorge to eat gluttonously | to gorge | to eat gluttonouslygormandise | gourmandize
gormless,lacking intelligence stupid | lacking intelligence | stupid
gorram,accursed (version of 'goddamn')
gorramn,accursed (version of 'goddamn')
gory,covered with blood; sanguinary violent
goshawk,Accipiter gentilis large hawk
Gospel,the four first books of the New Testament
gospel,the teaching of Christ; a creed smth absolutely true
Gospel of John,one of the four first books of the New Testament
Gospel of Luke,one of the four first books of the New Testament
Gospel of Mark,one of the four first books of the New Testament
gossamer,cobweb; extremely fine fabric | very fine ethereal | cobweb; extremely fine fabric
gossipmonger,gossiper
got,gotten got
Goth,a member of the Goths | a member of the GothsA
Gotham,New York City
Gothamite,a native of New York City
Gothic,to the Goths relating to Gothic arts; gloomy and mysterious | to the Goths | relating to Gothic arts; gloomy and mysterious
Gothically,barbarically | in a gothic style | in a gothic style
Gothicism,barbarism | use of Gothic style
Goths,one of the Teutonic tribes which invaded the Roman
gotta,'got to' must
Gottlieb Daimler,German engineer and auto manufacturer (1834-1900)
Gouda,type of hard cheese
gouge,to extort; to overcharge | tool for cutting grooves | to make a groove in
gouty,goutier goutiest | goutier | goutiestE
governable,can be governed controllable | can be governed | controllable
governess,nanny woman teacher employed in a private household
government debt,public debt
governorate,governorship an office of a governor
governorship,governorate an office of a governor
govt,government
gowk,a stupid person; a cuckoo
GPO,General Post Office
GPS,Global Positioning System
grab bag,bag of gifts (to be drawn unseen); an assortment of items
grab#1,taking or seizing quickly and forcefully | to take or seize quickly and forcefully | taking or seizing quickly and forcefullyB
grab#2,type of coastal sailboat
grabble,to fall down to sprawl | to feel with the hands to grope | to feel with the hands | to grope
grace,favor blessing; the free favor of God (in Christianity) | to honor (also by presence) | a prayer said before or after a meal in thanks | elegance of movement beauty; kindness goodwill
graceful,of grace elegant beautiful | of grace | elegant | beautifulM
graceless,lacking grace or elegance; rude
gracile,slim slender graceful
grad student,a graduate student a postgraduate
gradate,to change gradually | to arrange by grades
grade,to level flatten (a road) | arrange into grades classify; give a grade to (a pupil) | rank quality; mark given to a students work; school class (e.g. first grade); slope
grade school,elementary school
grader,machine for leveling the ground | pupil in a specific grade | smo who grades
gradient,sloping | a slope
gradine,step ledge
gradual,a chant (in the Roman Catholic mass) | proceeding in stages
graduate student,a postgraduate
graduating,graduation commencement
graduation,gradation arranging in grades | a mark showing a degree (e.g. on a ruler) | successful completion of a study program; commencement ceremony
graduation exercise,commencement ceremony
graft#1,to engraft | a scion; grafting transplant | a scion; grafting | transplant
graft#2,to gain by graft | corruption; bribery; extortion
grail,the Holy Grail
grain,wheat cereal used as food; single seed of cereal small particle | texture weave printed design (on smth) | turn (smth) into grains give texture to (smth) | texture | weave | printed design (on smth)M
grain of salt,skepticism
graininess,granularity
grainy,grainier grainiest
gram,one thousandth of a kilogram | one thousandth of a kilogramgrammeB
Gram-negative,do not retain the violet dye in Gram's method (of bacteria)
Gram-positive,retain the violet dye in Gram's method (of bacteria)
Graminaceae,the grasses
Gramineae,the grasses
gramineous,resembling grass of grass
grammar school,a secondary school emphasizing Latin and Greek in preparation for college | elementary school | elementary school
grammarian,an expert who specializes in grammar and syntax
gramps,grandfather
grampus,killer whale
gran,grandmother
Granada,city in southeastern Spain
grand,one thousand dollars; grand piano | impressive magnificent large
grand mal,severe form of epilepsy
grand slam,the winning of all the major events; major tennis tournament
grandad,grandfather
grandaddy,grandfather
grandchild,grandchildren
granddad,grandfather
granddaddy,grandfather
grandee,a nobleman
grandiloquence,pompous speech; bombastic expression
grandimpressive magnificent large,grander | grandest
grandma,grandmother
grandnephew,great-nephew
grandness,greatness splendor grandeur | greatness | splendor | grandeur
grandpa,grandfather
grandsire,grandfather
grandson,granddaughter
granger,a husbandman | a farmer
granite,firmness the quality of granite | type of hard igneous rock | firmness | the quality of granite
granivorous,feeding on grains
grannie,grandmother
granny,exacting and fussy person | a midwife | grandmother
granted,given; acknowledged
granularity,graininess
granulocyte,type of leukocyte | type of leukocyteb
granulocytic,relating to granulocytes
granuloma,inflammation due to tissue injury
granulomatosis,rare inflammatory disease
granulous,grainy
grape,vine bearing clusters of edible berries | fruits of a grapevine | fruits of a grapevineM
grapeshot,cannon ammunition consists of many small iron balls
grapevine,vine of grape fruit | rumours
graph,a graphic depicting a diagram
grapheme,fundamental symbol in a written language
graphologist,handwriting expert
grappa,brandy made from residue of grapes
grapple,to hold to grip to seize | grappling; a grappler | grappling; a grappler
grapple with,come to terms with
grapy,grapier grapiest | grapier | grapiest
grasp,a grip an act of grasping | understanding | to comprehend to understand fully | to seize to hold firmly
grasp the nettle,to deal with a difficult situation
graspingness,avarice
grass family,the grasses
grass roots,the ordinary people | a foundation a source | a foundation | a source
grass widow,a divorced woman
grass widower,a divorced man
grass-roots,of the common people | fundamental
grasshopper,plant-eating insect
grassland,grass-covered grazing area pastureland
grassroots,foundation
grassy,of grass abounding in grass | of grass | abounding in grassgrassier | grassiest
grateful,affording comfort or pleasure; received with gratitude | feeling or showing gratitude | feeling or showing gratitudeM
grater,device with sharp-edged holes for grating food
graticule,a fine network
gratis,free of charge
gratuitous,free without cost | unneeded unnecessary without a cause
gravamen,gravamina
grave,to carve to engrave | serious; critical | tomb a burial place | serious; criticalgraver | gravestM
grave wax,adipocere
graveled gravelledgraveled gravelled,graveling | gravelling
graver,tool used by an engraver | a person who engraves | a person who engraves
graveyard shift,late-night work shift
gravidbearer,smo of smth which bears or carries
gravidness,pregnancy
gravimeter,device for measuring the specific gravity of matter | device used for measuring the gravitational field of the Earth
gravitas,seriousness dignity solemnity of manner
gravitate,be attracted; to move as a result of gravity
gravitational,relating to gravitation
gravitometer,gravimeter
gravity,seriousness graveness | seriousness | gravenessB
gravy,easy money windfall | sauce made of meat juices
gravy train,easy money
graybeard,an old man
grayfish,dogfish
grayling,a species of freshwater fish in the salmon family
Graz,city is southeastern Austria
graze#1,to pasture to eat grass in a pasture (of livestock)
graze#2,a superficial injury | to scrape the skin; to rub against
grease,to lubricate with grease | to bribe | bribe smth given as bribe | thick fatty substance lubricant | thick fatty substance | lubricantR
grease monkey,car-mechanic
greaseball,smo of Italian descent (ethnic slur)
greasepaint,substance used as make-up by actors
greasy,greasier greasiest
greasy grouper,type of fish
great,very well | distinguished person | (make ~) | excellent | of very big extent or intensity huge
Great Bear,Ursa Major (star constellation)
great bustard,Otis tarda largest species of bird in southern and central Europe
great deal,a lot a great amount or extent
Great Depression,period of worldwide economic depression during the 1930s
Great Dog,Canis Major (star constellation)
Great Slump,period of worldwide economic depression during the 1930s
greaten,to make or become greater
greatexcellent,greater | greatestM
greatly,to a great extent extremely | to a great extent | extremely
greatness,immenseness largeness; superiority
greatof very big extent or intensity huge,greater | greatestM
grebe,type of aquatic bird
Grecian,a person from Greece | Greek | Greek
Greco-,of Greece or the Greek
greed,excessive desire to have or possess
greedhead,an avaricious person
greedy,excessively desiring to have or possess
green,green color | a grassy area a lawn | environmentalist | inexperienced beginner | unripe | sickly in complexion | greener greenest | a grassy area | a lawnR | greener | greenestR
green card,permit for working and living in the United States
green light,permission to do smth
green turtle,Chelonia mydas
green with envy,very jealous
green-eyed,jealous
green-light,to give a permission to do smth
greenback,US dollar bill
greengrocery,a store of a greengrocer
greeninexperienced beginner,greener | greenestR
greening,type of green apple
greenish,of color resembling green
Greenland,the world's largest island; a province of Denmark
greenling,type of edible fish
greensickly in complexion,greener | greenestR
greensickness,type of anemia
greenstone,type of gemstone having a green color
greenunripe,greener | greenestR
greenware,unfired clay bodies
Greenwich,area of Greater London | area of Greater LondonKR
Gregory,Gregory VII
greit,to weep
Grenada,an island in the southeastern Caribbean Sea
grenadier,an infantryman equipped with grenades
Grenoble,city in southeastern France
grew,grown
grey,gloomy dark | cloudy | dull uninteresting | to make or turn grey (esp. of hair) | having grey hair | of color grey
grey wolf,gray wolf
greylag goose,common grey wild goose (Anser anser)
greyscale,grayscale
gri-gri,African amulet
grid,network of conductors power grid | pattern of horizontal and vertical lines; network of horizontal and vertical bars
griddlecake,a pancake
gridlock,standstill of the traffic traffic jam
grief,deep sadness
Grieg,Edvard Grieg Norwegian composer (1843-1907)
grieve,cause sorrow or sadness | be sad or sorrow
grieving,mourning sorrowful
grievous,grave severe very serious | causing anxiety or grief
griffin,legendary creature with the body of a lion and the head and wings of an eagle
grifter,a defrauder
grim,very serious or gloomy; forbidding formidable; ironic or sinister (humor etc.); unattractive depressing; inspiring horror; fierce ferocious
Grim Reaper,angel of death
grimalkin,an old or evil-looking female cat; an irritable old woman
grimy,grimier grimiest | grimier | grimiest
grin and bear it,to accept an unpleasant or difficult situation
grind,act of grinding to powder | hard routine work | to crunch; to sharpen | hard routine work | to crunch; to sharpen
grinder,a molar
gringo,a foreigner (disparaging term in Latin America)
gripe,to complain | to grip to hold tight | to grip | to hold tightF
grippe,influenza
gripsack,a bag a small suitcase
grisliness,the quality of being grisly
grisly,horrible grim inspiring horror | horrible shockingly repellent inspiring horror | horrible | grim | inspiring horrorgrislier | grisliest
grist,grain intended to be ground
gristle,cartilage
gristly,gristlier gristliest | gristlier | gristliest
grit,to make a grating sound | determination resolve | particles of stone or sand | determination | resolveQ
grits,coarsely ground corn (mainly eaten at breakfast)
gritty,like sand
grivet,type of Eeast African monkey
grizzle,to complain
grizzled,having grey hairs | having grey hairsQ& |
grizzly,white-haired gray | grizzly bear
groat,old English coin
grogginess,stupor being unsteady or dazed; drunkenness
groggy,groggier groggiest
grok,to comprehend to understand | to comprehend | to understand
groom,a stableboy | to prepare to get ready | a bridegroom | to take care of to clean or brush (e.g. a horse)
groomsman,groomsmen
groovy,chic fashionable | very good excellent | chic | fashionablegroovier | grooviest
grosbeak,seed-eating bird with a large beak
groschen,a coin used in various European countries
gross,to earn (before taxes) | gross profit | coarse crude; vulgar abominable; grave | complete before taxes | to earn (before taxes)Y | coarse | crude; vulgar | abominable; gravegrosser | grossestY
grosscomplete before taxes,grosser | grossestY
grossness,crudeness rudeness
grosso modo,roughly; approximately
grot,a cave a grotto
grotesque,a grotesque person or image | weird distorted monstrous
grotesquerie,grotesqueness
grotto,grottos grottoes | grottos | grottoes
grouch,to complain to grumble | complaining fit of bad temper | a bad-tempered person | a bad-tempered personE
grouchy,grouchier grouchiest | grouchier | grouchiest
ground,ground | to fix firmly | ground connection | crushed reduced to powder | bottom | foundation basis; reason | of the ground near the ground | land soil | ground connection
ground speed,the speed of an aircraft relative to the ground
ground swell,a heavy swell | a change of public opinion
ground zero,hypocenter detonation point of a bomb or missile
groundbreaker,a pioneer an innovator
groundbreaking,ceremony for the beginning of a construction project | original innovative
groundhog,North American marmot | North American marmotE |
grounding,the fundamentals of a field of knowledge | earthing | the fundamentals of a field of knowledgeE |
groundless,baseless without a basis not justified | baseless | without a basis | not justifiedE |
groundlessness,lack of base or foundation
grounds,basis foundation; justification | basis | foundation; justificationE | &E
group,to assign a group to to arrange into groups | a collection a bunch; a musical band
Group of Eight,the group of the eight industrialized nations
grouse#1,to complain | a complaint
grouse#2,type of game bird a wild chicken
grouser,a complainer
grovel,to creep to crawl; to show submission or fear
groveled grovelledgroveled grovelled,groveling | grovelling
groveler,flatterer obsequious person | flatterer | obsequious persongroveller
grow tired,to become tired
grow(make ~)grew,grown
grown-ups,the adults
growth,the process of growing development; increase
groyne,jetty breakwater | jetty | breakwatergroin
grub,to dig; to uproot | to scrounge to obtain by importunity | solid food | larva | to dig; to uprootC | larvaC
grubbiness,filthiness
grubby,infested with grubs | dirty filthy
grudge,to give reluctantly | to resent to envy | resentment envy
gruel,a punishment | porridge
grueling,extremely tiring strenuous | a severe experience (esp. punishment)
gruff,gruffer gruffest | gruffer | gruffestC
gruffness,roughness hoarseness | roughness | hoarseness
grum,surly grim
grumbler,complainer
grump,a bad tempered person
grumpy,grumpier grumpiest
grunge,style of rock music | trash grime dirt
grunt,a low gruff noise | infantryman low-ranking soldier | to issue a low gruff noise to snort | a low gruff noise | infantryman | low-ranking soldier
Grus,crane (genus)
Gruy,re | retype of Swiss cheese
Gryllidae,crickets family
GTC,good till cancelled buy or sell order that remains valid until it is filled or canceled
Guadalajara,city in southwestern Mexico
Guadalcanal,island in the Pacific Ocean; battle during World War II between the American and the Japanese
Guadeloupe,islands in the West Indies
Guam,a island in the Pacific Ocean | a island in the Pacific Ocean$A
guanaco,wild llama native to South America
Guangdong,province in southern China
Guangzhou,city in southern China
guanine,one of the four constituent bases of nucleic acids
Guant,namo Bay
guarantee,a guarantor | to assure to promise | a warranty a security an assurance | to assure | to promiseRguaranteedguaranteedguaranteeing
guaranteed,guaranteed
guard,watch over protect | person or a group who guard (smo or smth); protection carefulness; device worn for protection
guard against,take precautions against
guarded,protected; cautious
guardedness,wariness cautiousness | wariness | cautiousness
guardian,defender guard; custodian smo who is responsible by law (for smo or smth)
guardsman,a guard a sentry | a guard | a sentryguardsmenA |
Guatemala,country in Central America
Guatemala City,capital city of Guatemala
Guayaquil,the largest city of Ecuador
gubernatorial,"relating to a governor | relating to a governor""D"
gudgeon,a pivot a spindle | type of small freshwater fishe (Gobio gobio); often used as bait by anglers | a gullible person
guenon,type of small African monkey
guerdon,to reward | payment reward compensation | payment | reward | compensation
guerrilla,an irregular warfare | a guerrilla man
guess at,to estimate
guesstimate,an estimate based on a guess | to estimate basing on a guess | an estimate based on a guessguestimateKK | to estimate basing on a guessguestimateKK
guest,a parasitic organism | a visitor smo who lodges at a hotel
guesthouse,type of inexpensive hotel-like lodging
guffaw,to laugh boisterously | a burst of loud hearty laughter | to laugh boisterouslyD
GUI,graphical user interface
guidepost,a signpost; a guideline
guidon,a small flag a pennant
guilder,monetary unit of the Netherlands | monetary unit of the Netherlandsgulden
guile,to deceive | deceit duplicity; sly or cunning intelligence
guilty,guiltier guiltiest
Guinea-Bissau,republic on the northwestern coast of Africa
guise,appearance external aspect
Gujarat,a state in India
Gulag,system of labor camps in the Soviet Union
gulch,narrow ravine a flume | narrow ravine | a flumeC
gules,red color
gulf,engulf | area of sea partially enclosed by land; chasm gap
Gulf of Tonkin,arm of the South China Sea
Gulf stream,warm current that originates in the Gulf of Mexico and flows through the Atlantic Ocean
gull,to deceive | a gullible person | type of sea bird | a gullible personC
gullibility,naiveness credulity
gullible,fleeceable naive easily deceived
gullied,eroded
gully,to erode to form gullies | a trench a ravine
gulp,a large swallow | to choke | to swallow in a hurry | to swallow in a hurryC
gum albanum,aromatic gum resin
gum up the works,to prevent a machine or system from operating correctly
gum#1,chewing gum | to cover or smear with gum | a viscous secretion of some trees and shrubs; an adhesive
gum#2,the tissue of the jaws that surrounds the bases of the teeth
gumbo,gumbos
gumdrop,type of candy
gumminess,glueyness cohesiveness
gummy,gummier gummiest | gummier | gummiestC
gumption,practical judgment common sense resourcefulness
gumshoe,a detective
gun,to shoot | rifle pistol cannon | rifle | pistol | cannonC
gun barrel,tube through which bullets are shot (in a gun)
gun dog,hunting dog
gun room,quarters of junior officers on a British warship
gung-ho,very eager over enthusiastic (Chinese)
Gunma Prefecture,a prefecture of Japan
gunman,gunmen
gunnel,gunwale topmost planking of a boat
gunner,artilleryman
gunplay,a gunfight
gunpoint,point of a gun
gunshot,shot from firearm; shooting a gun
gunstock,handle of a gun
gunwale,topmost planking of a boat
gunworthydespicable,unworthier | unworthiest
gurney,a metal stretcher with wheels; used in modern hospitals and ambulances
gushing,unrestrained sentimental
gushy,unrestrained sentimental
gushyunrestrained sentimental,gushier | gushiestC
gussied up,attired
gussy up,to attire
gust#1,sudden strong rush of wind
gust#2,gusto; sense of taste
gustation,sense of taste
Gustave Flaubert,French writer and novelist (1821-1880)
gusto,gustos gustoes
gusty,gustier gustiest | gustier | gustiest
gut feeling,a hunch a guess based on intuition
gut-wrenching,agonizing causing much stress
gutless,cowardly fearful | cowardly | fearful
gutsiness,pluckiness
gutsy,greedy; lusty | brave courageous | brave | courageousgutsier | gutsiest
gutsygreedy; lusty,gutsier | gutsiest
gutta,a droplet a drop | a droplet | a drop
gutter,a channel at the edge of a road for carrying off surface water | the space between columns of printed text; a blank space between facing pages of a book | a channel on the roof that collects rainwater
gutter press,yellow journalism
guttle,to gobble to devour to eat greedily
gutty,guttier guttiest | guttier | guttiest
guy#1,to make fun of | a fellow a man
guy#2,to secure with a rope | a rope used to secure (e.g. a tent) | to secure with a ropeF
Guyana,republic in northeastern South America
guzzler,a drinker a glutton a greedy person
gym,gymnasium facility for physical training
gymkhana,sports meeting
gymnasium,facility for physical training
gymnast,athlete skilled in gymnastics | athlete skilled in gymnasticsQ
gynandromorph,androgyne
gynecologic,relating to gynecology | relating to gynecologygynaecologic
gynecological,relating to gynecology | relating to gynecologygynaecological
gynecologist,woman's doctor gynecology specialist
gynecology,gynaecology
gynecophobia,fear of women
gynoecium,female part of a flower
gynophobia,abnormal fear of women
gynophore,stalk of a pistil
gyp#1,to cheat to swindle | cheating a swindle
gyp#2,a college servant | a college servantQ
Gyps fulvus,griffon vulture
gypseous,relating to gypsum
gypsy,member of a travelling people | member of a travelling peoplegipsy
gyrus,a fold on the cerebral surface in the brain
haa,a letter of the Arabic alphabet
habeas corpus,a writ requiring a prisoner to be brought before a judge
habile,dexterous
habiliment,clothing
habit,dress attire costume | to dress | persons physical condition or constitution | regular tendency repetitive pattern of behaviour | dress | attire | costume
habit-forming,addictive
habitability,suitability for living in
habitable,suitable for living
habitant,inhabitant
habitat,dwelling-place; natural environment of an animal or a plant
habitation,process of inhabiting a place; home residence
habitu,a regular customer
habitude,habit character
Habsburg,House of Habsburg royal German family
hachure,hatching
hachuring,shading
hacienda,a ranch a large estate
hack,a hired horse | tool for rough cutting (e.g. hoe) | to cut with heavy blows to chop; to kick roughly | taxi
hackamore,type of halter
hackman,hackmen
hackney,to make banal through overuse | light horse used to draw carriages | carriage for hire | to make banal through overuse | carriage for hire
hackney carriage,a taxicab
hackney coach,hackney carriage
hacksaw,metal saw
hackwork,monotonous or uninteresting work; work done according to formula
had,had
Hades,the underworld where spirits of the dead reside; god of the underworld
Hadhramawt,region in the Arabian Peninsula; part of Yaman
Hadith,collection of Islamic writinings containing sayings and actions of Muhammad
haft,to provide with a haft | handle of a weapon or tool | to provide with a haftB
haggard,wild and intractable (of a hawk) | very thin esp. due to disease or suffering | wild and intractable (of a hawk)
haggish,very ugly resembling a hag
haggle,bargaining wrangling | to cut in a crude manner | to bargain (over a price) | bargaining | wrangling
haggler,bargainer
haggling,bargaining wrangling | bargaining | wranglingBB
hagiolatry,worship of saints
hagiology,literature relating the lives or legends of saints
hagride,hagrode
Haifa,port city in north Israel
haiku,form of Japanese poetry
hail from,to have one's origins in to be a native of
Hail Mary,Ave Maria
hail#1,hailstones falling of pellets of ice smth that falls forcefully like hailstones (also metaphorically)
hail#2,to salute; to call to; to acclaim | salutation greeting
hail-fellow,congenial friendly
hailstone,single ice pellet | single ice pelletM
hailstorm,storm of ice pellet
hair,a single hair
hair's breadth,a very small margin
haircloth,cloth woven from horsehair or camelhair
hairdo,hairdos
hairpin,a sharp road turn | a pin for the hair (bent in the shape of a long U) | a sharp road turn
hairsbreadth,very small distance
hairy,hairier | hairiestK
Haitian,of Haiti | Haitian Creole language | a person from Haiti
hajj,pilgrimage to Mecca
hajji,Muslim who has been to Mecca as a pilgrim
hake,a fish similar to cod | a fish similar to codM
Hakenkreuz,swastika the official emblem of the Nazi
Halab,city in northwestern Syria
Halakha,the body of Jewish religious law | the body of Jewish religious lawHalacha
halal,lawful legal
halation,a halo (in a photograph)
halberd,type of pole weapon
Halcyon,a genus of the tree kingfishers
halcyon,of idyllic past time marked by peace and prosperity | peaceful calm
Halcyon leucocephala,grey-headed kingfisher
hale,to drag to draw | healthy well
hale and hearty,very healthy and strong
half,partly | halves
half a chance,the slightest opportunity
half measures,inadequate measures
half-and-half,fifty-fifty equaly | in equal parts
half-baked,not fully considered or planned not done
half-hour,half of an hour
halfhearted,showing little interest or enthusiasm
halfway,located at half the distance | to some extent | at half the distance; at the middle | located at half the distance
halfway house,a middle way a compromise
halibut,type of flatfish
halitosis,bad breath
hall,corridor entrance room; large room used for conventions meetings etc. | corridor | entrance room; large room used for conventions | meetings | etc.D
Halley,Edmond Halley English astronomer (1656-1742)
hallmark,official stamp of quality on gold silver or platinum items (British); mark which indicates high quality | official stamp of quality on gold | silver or platinum items (British); mark which indicates high qualityA
hallowing,sanctifying
Hallowmas,All Saints' Day
Hallowmass,All Saints' Day
hallucinate,to see or hear imaginary visions or sounds (e.g. due to fevere); have illusions
hallucinogenic,generating hallucinations
hallucinogenous,causing hallucinations
halo,circle of light aura | circle of light | aurahalos | haloesM
haloform,a haloalkane
halogen,any of five nonmetallic elements | any of five nonmetallic elementsB
halophyte,plant that grows in very salty soil
halt,to proceed poorly to hesitate | station | come to a stop | suspension of movement or activity temporary stop | bring to a stop
halting,disabled; crippled | hesitant slow
halve,divide into two
halyard,a line that is used to hoist a sail or a flag
Ham,son of Noah
ham,an amateur radio operator | meat cut from the thigh of a hog | the back of the thighB | meat cut from the thigh of a hogB
ham radio,amateur radio
ham-fisted,heavy-handed lacking skills clumsy
ham-handed,heavy-handed lacking skills clumsy
hamartia,a fatal flaw leading to the downfall of a tragic hero
hamartoma,a benign tumor
hamaxophobia,fear of riding in a vehicle
Hamburg,city in northern Germany
Hamlet,play by Shakespeare
hammer,part of the gunlock that strikes the percussion
hammer home,to keep repeating an idea to try very hard to make smth understood
hammerless,lacking an exposed hammer (a firearm)
Hammurabi,Babylonian king who established the Code of Hammurabi (died 1750 BC)
hammy,dramatic; overacted
hamoor,greasy grouper type of fish | greasy grouper | type of fish
hamper#1,a restraint that confines or restricts freedom | to prevent the free movement action or progress of
hamper#2,a large basket
hamstrung,hamstrung
Hanafi,Sunni Islam school of thought
hand,pointer of the clock | a side (of an issue) | assistance | hired laborer; member of a ship's crew | a player in a card game; the cards he possesses | to place into the hands of | to help to assist (by holding the hand of) | done by hand | the extremity of the arm
hand down,to pass on as by inheritance; to bequeath
hand grenade,a small explosive device thrown by hand
hand in,to submit
hand in hand,together in association
hand out,to give to distribute | to give | to distribute
hand over,to surrender (smo of smth) to another
hand over fist,rapidly
hand over to,to surrender (smo of smth) to
hand pump,a pump operated by hand
handclasp,handshake
Handel,George Frideric Handel British baroque composer (1685-1759) | George Frideric Handel | British baroque composer (1685-1759)
handfast,handshake which seals a contract or marriage
handful,a small quantity amount which fills a hand
handgun,a pistol firearm used with one hand
handle with kid glovesto deal (with smo or smth) very gently or carefully,treat with kid gloves
handless,having no hands | heavy-handed
handpump,a pump operated by hand
hands down,with no difficulty easily; unquestionably
handsaw,hand saw
handsel,to give a gift to inaugurate | a gift given for good luck inauguration present | to give a gift | to inauguratehansel
handsome,openhanded generous | handsomer handsomest | handsomer | handsomest
handsomely,generously
handsomeness,beautifulness
handsomeopenhanded generous,handsomer | handsomest
handwrite,handwrote
handy,skillful | easy to reach or to use convenient
handyeasy to reach or to use convenient,handier | handiest
handyman,handymen
handyskillful,handier | handiest
hang fire,to delay to wait
hang heavy,to pass slowly (time)
hang in,to persist to go on
hang on,to persist to go on | to wait a while | to hold firmly to grasp
hang out with,to spend time with
hang tough,not to yield
hang#1,to suspend; to be suspended
hang#2,to execute put to death by hanging; be hanged
hangdog,guilty showing guilt | guilty | showing guilt
hanged,hanged
hanger#1,a peg used for hanging clothes
hanger#2,wood on a hill side
hanging,dangling | form of death punishment; suspending; hung decoration (e.g. tapestry)
hangman,hangmen
hangout,a place one is visiting frequently
hangover,a trace smth left from the past | after-effects caused by of alcohol consumption | a trace | smth left from the past
Hangul,the Korean script
hanker,to desire
hanky,handkerchief
hanky-panky,mischievous activity deception
Hanover,city in northwestern Germany
Hans Asperger,Austrian pediatrician (1906-1980)
hansom,hansom cab
hap#1,to happen | luck chance; occurrence
hap#2,to cover up | covering
hapax legomena,hapax hapaxes
hapax legomenon,a word that occurs only once within a context (the works of an author a single text etc.)
haphazardness,accidentalness
hapless,unfortunate; unlucky
haplessness,unfortunateness
happen,chance to be | to occur come to pass; to become reality
happen upon,to encounter
happenstance,coincidence chance occurrence
happily,gladly
happy,(make ~) | happier happiest | happier | happiestB
happy as a lark,very happy
happy tidings,good news
happy-go-lucky,cheerfully irresponsible carefree
Hapsburg,House of Habsburg royal German family
haptic,tactile
haptics,interaction involving touch
harbor,port anchorage | place of shelter | to give refuge | to keep a secret thought or feeling
harborage,harbor; shelter refuge
hard,dried out | stiff rigid; strong; unpleasant; difficult
hard by,near close to
hard coal,anthracite
hard disk,computer storage medium
hard facts,the indisputable facts
hard hat,a lightweight protective helmet
hard nut to crack,smo or smth hard to deal with
hard on,near close to; following
hard-hearted,unfeeling unsympathetic
hard-nosed,practical pragmatic
hard-on,erection (Vulgar)
hard-set,fixed rigid
hard-shell,determined confirmed | having a hard shell | determined | confirmed
hardball,baseball
hardboard,fiberboard
harden,to make (smth) hard to strengthen; to become hard
hardfisted,miserly
hardheaded,stubborn | realistic pragmatic
hardhearted,merciless not compassionate | merciless | not compassionate
hardihood,daring boldness
hardiness,boldness | daring boldness
hardscrabble,barren (land); meager | barren (land); meagerA |
hardtack,hard biscuit sea biscuit
hardware,tools made of metal; mechanical equipment
hardy,resolute robust brave fearless
hardyresolute robust brave fearless,hardier | hardiest
harebrained,foolish rash reckless
harem,wing reserved for wives or female servants in Muslim household; wives of a polygamous man
hark,to listen
hark back,to recall to go | to recall | to goback
harken back to,have started out as
harlot,prostitute whore | prostitute | whore
harmless,bearing no harm
harmonium,small organ
harmonization,harmonisation
Harold Pinter,English dramatist and actor (1930-2008)
harpist,harper
harpooneer,smo who launches harpoons
harpooner,smo who launches harpoons
harridan,a bad-tempered woman
harrier,type of hawk
harrow,to disturb to distress | to draw a harrow over (land) | an agricultural implement | to draw a harrow over (land)B
harrowing,distressing upsetting; extremely painful
harrumph,to clear one's throat
harsh,harsher harshest | harsher | harshestA
harsh criticism,sharp criticism
hartebeest,type of antelope
Hartford,capital of Connecticut USA
harum-scarum,irresponsible reckless carefree
haruspex,haruspices
harvestman,type of spider-like insect with very long legs | gatherer cropper | gatherer | cropperharvestmen
has not,do not have (he or her)
has-been,smo who is no longer popular; smth outdated
hasn't,has not
hassle,to bother to annoy | a quarrel an argument a fight; an inconvenience
hast,(you) have the verb 'have' in second-person singular present form
hastate,shaped as a spearhead (of a leaf)
haste,to hurry to rush | to hurry | to rushM | quickness | hurry | rushM
hasten,to hurry to rush | to hurry | to rush
hastener,accelerator
hasty,hastier hastiest | hastier | hastiest
hat,office position | head covering
