direction,headword,definition
en,sedan,a sedan chair | type of closed automobile
en,sedate,to tranquilize to calm | grave solemn
en,sedateness,seriousness solemnity | seriousness | solemnity
en,sedentary,inactive sitting characterized by sitting remaining at the same locality
en,sederunt,a sitting
en,sedge,type of marsh plant
en,sedimentology,the study of sediments
en,sedition,> provocation
en,seditionary,an inciter or promoter of sedition | inciting
en,seditious,arousing to rebellion inciting dissent
en,seduce,to tempt to lure | to tempt | to lure
en,seducer,smo who seduces
en,seduction,temptation
en,seductive,tempting alluring
en,seductress,a woman who tempts
en,sedulously,diligently assiduously
en,see,to meet | to ensure | to escort | the office of a bishop | to understand | to view to perceive using the sense of vision | the office of a bishopR
en,see about,to handle to attend to | to consider
en,see as,to consider to regard as
en,see eye to eye,to agree with each other to be in
en,see fit,to deem right
en,see off,to attend smo's departure
en,see red,to become infuriated
en,see smo through,to support smo
en,see to,to attend to
en,see to it,to ensure to make sure
en,see-saw,seesaw
en,see-through,transparent
en,seeable,visible can be seen
en,seed,to sow to plant seeds; to remove seeds from (a fruit) | grain kernel; quantity of seeds; beginning source; offspring
en,seed plant,plant that reproduces by seeds
en,seedless,without a seed
en,seedsman,seedsmen
en,seedy,shabby sordid | full of seeds
en,seedyfull of seeds,seedier | seediestR |
en,seedyshabby sordid,seedier | seediestR |
en,seeing,looking
en,seek,to search for; try to get or do
en,seek out,to look for
en,seeker,smo who seeks
en,seeking,searching for; trying to get or do
en,seem,to look as if appear to be
en,seemingly,as it seems apparently
en,seemly,adequate becoming; looking good handsome
en,seen,a letter of the Arabic alphabet | past part. of see | past part. of see
en,seep,seepage a leak | to leak to flow gradually (through a hole)
en,seepage,process of seeping
en,segment,to divide to split up | part section | to divide | to split upKK
en,segue,moving without interruption (from one song scene etc. to another) | to move without interruption (from one song scene etc. to another)
en,segued,segued
en,seigniorage,seignorage
en,seigniory,seigneury
en,Seine,river that flows through Paris France
en,seisin,ownership; possession of land | ownership; possession of landseizin
en,seism,an earthquake
en,seizable,can be seized can be confiscated
en,seize,to grab to capture to take by force to confiscate
en,seize the day,enjoy the present
en,seized,captured confiscated | captured | confiscatedR& |
en,seizer,smo who seizes
en,seizure,an attack a spasm (of illness) | arrest confiscation capture | arrest | confiscation | captureR'
en,seldom,rarely not often | rarely | not often
en,select,superior of high quality | to choose to pick
en,selected,chosen
en,selectee,smo who is chosen
en,selection,act of selecting choice; selected things
en,selenium,a chemical element with symbol Se
en,self,the ego one's own preception of identity personality
en,self-absorbed,absorbed in one's own interests self-centered
en,self-aware,aware of oneself
en,self-centredness,egoism self-interest | egoism | self-interest
en,self-concern,egoism self-interest | egoism | self-interest
en,self-defense,self-defence
en,self-destructive,dangerous to oneself or one's interests; relating to self destruction
en,self-evident,clear evident by itself
en,self-expression,the act of expressing one's thoughts and feelings
en,self-hypnosis,autohypnosis
en,self-indulgence,excessive gratification of desires and bodily appetites
en,self-interest,egoism self-concern
en,self-involved,absorbed in one's own interests self-centered
en,self-loathing,an extreme dislike or hatred of oneself or of a group family social class etc. to which one belongs
en,self-made man,person who made his own fortune
en,self-opinioned,conceited
en,self-pity,feeling pity over one's own troubles
en,self-protection,self-defense
en,self-seeking,opportunism | interested only in oneself | egoism self-interest | egoism | self-interest
en,self-serving,interested only in oneself
en,self-taught,autodidact
en,self-worth,self-respect
en,selfhood,individuality
en,selfish,concerned only with himself
en,selfless,altruist
en,selfness,individuality
en,selfsame,the same
en,Seljuq,dynasty that ruled areas of Middle East and Central Asia from the 11th to 14th centuries | of the Seljuq dynasty | of the Seljuq dynasty
en,sell,to betray to cheat | act of selling | to offer (smth) in exchange for money to trade
en,sell out,to sell the entire stock (e.g. of a store) | to betray
en,sell short,to underestimate
en,sell-out,betrayal
en,seller,a product that sells | smo who sells
en,selling,act of offering (smth) in exchange for money
en,selling point,a characteristic of a product that makes it attractive to potential customers
en,selvage,selvedge
en,SEM,scanning electron microscope
en,sematic,serves as a warning signifies danger
en,semblance,picture representation
en,semester,academic term
en,semi-,partly almost; half; occuring twice (for a time period e.g. semi annual)
en,semi-annual,occuring twice in every year
en,semi-official,partly official
en,semiannual,biyearly
en,semiaquatic,partially aquatic living near or partly in water
en,semiautomatic,partly automatic
en,semibreve,whole note
en,semicentenary,relating to the 50th anniversary
en,semicentennial,relating to the 50th anniversary
en,semicircle,half circle
en,semicircular,curved into or resembling a half circle
en,semicivilized,partly civilized
en,semicoma,partial coma state
en,semiconducting,having the properties of semiconductor
en,semiconductive,having the properties of semiconductor
en,semiconductor,substance (typ. silicon) that conducts current only partially
en,semiformal,partly formal
en,semilunar bone,one of the wrist bones
en,semilunar valve,heart
en,seminal,relating to semen or seeds; having influence on future developments
en,seminiferous,bearing sperm or seed
en,seminivorous,feeding on seeds
en,semiofficial,partly official
en,semiology,the study of signs and symbols
en,semiotics,the study of signs and symbols
en,semitransparent,partly transparent
en,Semper Fi,Semper Fidelis always faithful (the motto of the United States Marine Corps)
en,Semper Fidelis,always faithful (the motto of the United States Marine Corps)
en,sempervirent,evergreen
en,sempiternal,endless everlasting
en,sempiternity,eternity
en,sempstress,dressmaker seamstress | dressmaker | seamstress
en,Semtex,type of plastic explosive
en,senary,of six relating to the number 6 | of six | relating to the number
en,senator,a senate member
en,send,to dispatch to direct cause to go smw; to emit
en,send down,to suspend or expel from college or university
en,send packing,to order (smo) to go away
en,sendal,fine silk fabric
en,sender,smo who sends
en,sending,dispatching directing; emiting
en,sending out,dispatching
en,Senegal,country in northwestern Africa
en,senesce,to age to deteriorate due to aging
en,senescent,ageing
en,senior brass,top brass high-ranking officials
en,sennit,braided straw | braided cordage (used on ships)
en,sensate,perceiving sensing; perceived by the senses
en,sensation,general feeling of excitement; smo of smth that arouses such excitement | widespread feeling of excitement and interest; smo of smth that arouses such excitement | perception awareness feeling
en,sensational,of sensation | exciting extraordinary
en,sense,meaning signification | feeling the ability to feel or perceive; reason intelligence | to feel to perceive; to understand | meaning | significationK
en,sense of hearing,the ability to hear the auditory sense
en,sense of humor,sense of humour
en,senseful,full of sense reasonable
en,senseless,foolish without sense | foolish | without senseK
en,senselessness,foolishness
en,sent,sent
en,sentence,punishment given by court of law | to declare a punishment (by court of law) | set of words which conveys a complete idea | punishment given by court of lawK
en,sentiment,opinion
en,sentinel,to station a sentinel | a guard a soldier whose job is to stand and keep watch | to station a sentinelK
en,sepal,a leaf of the calyx
en,sepaloid,resembling a sepal
en,separate,to divide to detach | different distinct; detached | to move apart to be divided | different | distinct; detachedKKK | to move apart | to be dividedKKK
en,separated,divided parted
en,separation,act of separating; state of being separated breakup
en,sepia,dark brown-grey color; cuttlefish ink
en,sepiolite,a white mineral
en,seppuku,harakiri
en,sept,people descended from a common ancestor
en,September,ninth month of the year (by the Gregorian calendar)
en,septentrional,northern
en,septicemia,blood poisoning
en,septum,septa
en,septum lucidum,a vertical membrane that separates the lateral ventricles of the brain
en,septum nasi,central bone in the nose
en,sepulcher,sepulchre
en,sequela,sequelae
en,sequester,to confiscate | to isolate to hide away
en,sequestral,relating to a sequestrum
en,sequestrate,to distrain
en,sequestrum,piece of detached bone
en,sequitur,a conclusion a logical outcome
en,sequoia,huge tree native to California
en,serail,a harem
en,seraph,an angel
en,seraphan angel,seraphim | seraphs
en,serendipitous,lucky discovered by a fortunate chance
en,serendipity,good luck the discovery of smth by a fortunate chance
en,serene,calm tranquil
en,serenity,calmness tranquility | calmness | tranquilityK
en,serf,servant who is bound to the land a slave
en,sergeant major,a military rank
en,serialize,serialise
en,seriatim,one after another
en,sericeous,covered with short soft hairs
en,sericulture,the production of raw silk
en,series,series
en,serigraph,silk screen print
en,serious,of great significance grave; earnest; demanding consideration
en,seriously,severely | in a serious way earnestly
en,serjeant-at-law,barrister of the highest order (England) | barrister of the highest order (England)serjeants-at-lawsergeant-at-law
en,serjeants-at-law,sergeant-at-law
en,sermon,preaching
en,sermonize,sermonise
en,serology,the study of blood serum
en,serotine,type of bat
en,serotonin,a neurotransmitter
en,serpent,a snake
en,serpentine,winding resembling a snake (e.g. of a road)
en,serry,to press together
en,serum,serums sera
en,servant,smo employed by the government | smo who serves another | smo who serves another
en,service,help aid | to perform maintenance (e.g. on a vehicle) | military service | a religious ceremony | work that benefits another people
en,serviceable,useful practical; durable
en,serviceman,a maintenance man | a soldier | a maintenance manservicemenL
en,servicer,smo who performs maintenance
en,serviette,a table napkin
en,servilely,servilely in an obsequious manner
en,servitude,subjection to an easement (of a property) | slavery; forced labor (imposed as punishment)
en,sesquipedalia,a word containing many syllables
en,sesquipedalian,containing many syllables (of a word) | tending to use long words
en,session,a meeting; a semester a school term; a period of time in which some activity takes place
en,sessional,relating to a session
en,set,a seedling | a series a collection of similar things; a system a receiver (of radio etc.) | to put to place to fix | set
en,set afire,to start a fire
en,set aside,to disregard | to reserve; to separate
en,set back,to hinder to restrain | to hinder | to restrain
en,set free,to free to release | released
en,set in order,to arrange
en,set off,to initiate to start; to provoke
en,set phrase,a fixed phrase
en,set right,to make correct
en,set sail,to start on a voyage
en,set to,to begin to become active
en,set-to,a fight
en,seta,a bristle
en,setaa bristle,setae
en,setaceous,thorny prickly
en,setback,an obstacle smth which impedes a change to the worse
en,Seti I,pharaoh of Ancient Egypt
en,setose,thorny bristly
en,setout,an event | a display an arrangement
en,setting,an environment a scenery
en,settle,to pay (e.g. a debt) | to populate | to resolve to reach an agreement; to become established; to sink down; to form a community
en,settle down,to settle into a position | to become established and stable in one's residence or life style
en,settle for,be content with
en,settled,established decided; paid; inhabited
en,settlement,an agreement | a colony a community of people | an agreement; payment (of a debt) | payment (of a debt) | process of settling; act of creating colonies
en,setup,a trap a deceptive scheme | arrangement organization; configuration | arrangement | organization; configuration
en,seven,the number
en,seventeen,the number
en,seventies,the decade from 70 to
en,seventieth,one of 70 equal parts 1/70 | ordinal number matching the number 70 in a series
en,severability,separability
en,severable,separable can be divided
en,several,distinct separate | few not many various | few | not many | variousK#K
en,severe,strong hard harsh
en,severe criticism,sharp criticism
en,severely,sternly | seriously critically | seriously | critically#Q
en,Seville,city in southwestern Spain
en,sewed,sewn sewed
en,sewer water,wastewater
en,sewer#1,waste
en,sewer#2,servant who supervises meal serving
en,sewer#3,smo who sews
en,sexagenarian,a person whose age is in the sixties | whose age is in the sixties
en,sexless,lacking gender | having no sexual desire or activity
en,sexlessness,lack of sexuality or sex organs
en,sextuplicate,six times as much
en,sexy,sexier sexiest
en,Seychelles,group of islands in the western Indian Ocean; the Republic of Seychelles
en,sferics,spherics
en,Shabbat,Sabbath
en,shabby,shabbier shabbiest
en,shack,to live to reside | a hut a cabin
en,shackle,a fetter
en,shad,herring-like fish | herring-like fishB |
en,shade,protect from light to darken | relative darkness shadow; tone of color tint; smth which protects from sunlight shelter | protect from light | to darkenM |
en,shadfly,mayfly
en,shadow,to cast a shadow | dark area under an illuminated object; an apparition
en,shadowy,full of shade; vague obscure | full of shade; vague | obscure
en,shady,disreputable dubious | filled with shade covered in shadow
en,shadydisreputable dubious,shadier | shadiestM |
en,shadyfilled with shade covered in shadow,shadier | shadiestM |
en,shaft,a pier a vertical passway | each of the pair of poles between which a horse is harnessed to a carriage or wagon | a ray of light; a thunderbolt | a column | to equip with a shaft; to push with a rod | to treat harshly; to cheat | a long narrow body (of a spear club arrow etc.); transmission rod | a ray of light; a thunderboltB
en,shaggy,shaggier shaggiest
en,Shaitan,Satan; a demon
en,shaitan,Satan | Satanshaytan
en,shake,to get rid of | an act or instance of shaking | to weaken cause to be unstable | to move (smth) back and forth; to tremble to vibrate; to agitate to shock | an act or instance of shakingM
en,shake down,to extort
en,shake out,to remove dust (from smth) by shaking
en,shake smo's hand,to shake hands with
en,shake up,to rouse | to reorganize
en,shake-up,reorganization | agitation
en,shakedown,test voyage or flight | extortion of money | makeshift bed | thorough search | test voyage or flight
en,Shakespeare,William Shakespeare English poet and dramatist (1564-1616)
en,Shakespearean,relating to or written by William Shakespeare
en,Shakespearian,relating to or written by William Shakespeare
en,shaketo get rid ofM,shookshaken
en,shakings,refuse (of cordage canvas etc.) | refuse (of cordage | canvas etc.)
en,shaky,shakier shakiest | shakier | shakiestM
en,shall,used in a question | auxiliary verb which indicates the future (first person)
en,shallot,plant from the onion family
en,shallow,to become shallow | not deep not profound | to become shallowB
en,shallownot deep not profound,shallower | shallowestB
en,shalt,shall (in second
en,shaman,priest of a tribe who practices sorcery to cure or to predict the future
en,shamanistic,relating to shaman or shamanism
en,shamble,a shambling gait | move with a slow and shuffling gait
en,shambles,mess great disorder | slaughterhouse; place of carnageB
en,shambolic,chaotic in great disorder
en,shame,to disgrace to bring shame on | disgrace dishonor
en,shameful,disgraceful causing shame
en,shameless,brazen feeling no shame
en,shamelessly,unabashedly
en,shan't,shell not will not
en,Shandong,province in eastern China
en,Shanghai,a city in China; the largest in terms of population
en,shanty,a hovel a shack
en,shape,to give shape or form to | form external appearance structure; state of health condition | form | external appearance | structure; state of health | conditionM
en,shaped,having a specific shape resembling
en,shapeless,having no shape amorphous
en,shapelessness,lacking a definite shape
en,shapely,shapelier shapeliest | shapelier | shapeliest
en,shard,a sharp piece (of broken ceramic metal glass etc.)
en,share,portion part; an equal part of a companys capital | to have or use commonly to give a share of
en,Sharia,the Islamic law
en,sharia law,shariah law
en,sharif,a descendant of Muhammad
en,Sharjah,one of the emirates of the United Arab Emirates
en,shark,type of predatory fish | a villain a dishonest person | type of predatory fishA | a villain | a dishonest personA
en,sharp,sharply | the sign '#' used to indicate that the note is a semitone higher | an expert; a cheater | cutting made to cut; acute; clearly defined; smart shrewd | the sign '#' used to indicate that the note is a semitone higherA
en,sharp criticism,harsh criticism
en,sharp practice,cunning behavior that borders on being unethical
en,sharp turn,an abrupt curve
en,sharpen,to make sharp or pointed
en,sharpened,having a sharp point
en,sharper,a swindler
en,sharpshooter,a marksman smo who is skilled in shooting
en,Shatt al-Arab,river in Southwest Asia
en,shave,to remove body hair with a razor | the act of shaving | to remove body hair with a razorM#shavedshaved | shaven
en,shaved,shaved shaven
en,shaver,a youngster a young lad | smo who shaves; an electric shaver
en,shavetail,a newcomer officer; inexperienced person untrained mule
en,shaving,cutting of thin slices | a thin slice (esp. of wood) | the act of removing hair with a razor | cutting of thin slices
en,she is,she's
en,she will,she'll
en,sheaf,sheaves
en,sheared,sheared shorn
en,sheave,to bind together
en,shebang,a hut or shelter | matter system
en,shed,shed
en,shed light on,to make (smth) clear
en,shed#1,spilled cast off | allow to fall or flow to cast off to spill to pour out; to get rid of | spilled | cast offK | allow to fall or flow | to cast off | to spill | to pour out; to get rid ofK | shedshedshedding
en,shed#2,structure used as a shelter or for storage
en,shedding,the act of shedding
en,sheen,to glow | a letter of the Arabic alphabet | luster glow
en,sheeny,shining
en,sheep,type of domesticated mammal | weak and submissive person
en,sheepcote,sheep pen
en,sheepfold,sheep pen
en,sheeple,"people that follow blindly and never question their leaders (a portmanteau of ""sheep"" and ""people"")"
en,sheepshead,a stupid person
en,sheepskin,a diploma | skin of a sheep (used for for writing on or clothing)
en,sheepweak and submissive person,sheepR
en,sheer,sheerer sheerest | sheerer | sheerestQ
en,sheerness,transparency | steepness
en,sheet anchor,an emergency anchor; smo or smth to be relied upon in danger
en,sheikh,an honorific in the Arabic language (lit. 'elder')
en,sheikhan honorific in the Arabic language (lit. 'elder'),sheikR
en,sheikhdom,domain ruled by a sheik jurisdiction of a sheik
en,Shekel,Israeli currency
en,shelf,shelves
en,shell,to bombard | to remove from its shell or outer covering
en,shell out,to pay
en,shellac,to coat with shellac | to defeat decisively | type of varnish
en,shellacked,shellacked
en,shellacking,a decisive defeat
en,shellback,experienced seaman
en,shelter,to provide a shelter; to find a shelter | a refuge a safe place; protection
en,shelve,to slope to slant downward
en,shelvy,sloping downwards
en,shend,to harm to spoil | to harm | to spoil
en,Shenyang,city in northeast China
en,Shenzhen,city in southern China
en,shepherd,a clergyman | to tend sheep; to watch over like a shepherd | a sheepherder
en,sherd,a fragment a shard
en,sherlock,private detective
en,Shevat,the fifth of the Hebrew calendar | the fifth of the Hebrew calendarShebat
en,Shiah,a member of the Shiah | a branche of orthodox Islam | a member of the ShiahShia
en,Shiah Islam,a branche of orthodox Islam
en,shibboleth,a favorite saying of a specific group or class; manner of speaking that is distinctive of a particular group of people
en,shift ground,to change one's opinion
en,shiftless,lacking ambition or initiative; lazy
en,shiftlessness,the lack of ambition or initiative; laziness
en,shifty,deceptive evasive; constantly changing
en,Shiite,of the Shiah | a member of the Shiah (a branche of orthodox Islam)
en,shikar,hunting (Indian)
en,shikari,a guide; a hunter
en,Shikoku,smallest island of the four main islands of Japan
en,shill,to act as a shill | a decoy who acts as an enthusiastic customer in order to stimulate the participation of others | to act as a shillQ
en,shillelagh,a cudgel a club
en,shilly-shally,to be indecisive | indecisive | indecisiveness an indecisive behavior
en,shilly-shallyer,smo who exhibits an indecisive behavior
en,shillyshally,to procrastinate to hesitate | to procrastinate | to hesitate
en,shin,to clamber to climb up or down by gripping with one's arms and legs
en,shine,brightness glow | to gleam to glow to be bright; to polish (shoes); to be distinguished or eminent
en,shined shone,shined shone
en,shiner,black eye | smth that shines; smo or smth that polishes
en,shining,gleaming glowing bright
en,Shinkansen,network of high-speed railway lines in Japan
en,Shinto,indigenous Japanese religion
en,Shintoism,indigenous Japanese religion
en,shiny,shinier shiniest | shinier | shiniestF
en,ship,to transport (also on a ship) | a vessel that carries passengers or freight | to transport (also on a ship)Q
en,ship's log,logbook of a ship
en,shipman,shipmen
en,shipmaster,captain of a ship
en,shipmate,a fellow member of a ship's crew
en,shipwreck,destruction loss | to destroy or be destroyed (of a ship); to ruin | a wrecked ship | destruction | loss
en,shipwright,ship builder
en,shipyard,a place where ships are built | a place where ships are builtQ% |
en,Shiraz,city in southwestern Iran
en,shire,county administrative district (in England)
en,shirk,smo who shirks
en,shirker,a slacker
en,shirr,to bake (an egg)
en,shit,feces | defecate | feces
en,shit fit,a childish display of anger a tantrum
en,shithead,a stupid person
en,shiv,a knife used as a weapon
en,shlock,merchandise of inferior quality rubbish | merchandise of inferior quality | rubbish
en,shoal#1,a large group of fish; a large group of people or things
en,shoal#2,to become shallow (of water) | a landform within a body of water; a stretch of shallow water | to become shallow (of water)
en,shoat,a young pig
en,shod,wearing shoes fitted with footgear
en,shoddy,cheap of low quality; misleading
en,shoe,to fit a horseshoe; to furnish with shoes; to put on shoes | a footwear; horseshoe a plate nailed to horse's hoof
en,shoeblack,a shoeshiner
en,shoed shod,shoed shod
en,shoepac,heavy waterproof boot
en,shoestring,small amount of money | shoelace | small amount of moneyb
en,shogun,hereditary military ruler (Japan)
en,shogunate,dictatorship ruling by a military commander
en,shoo-in,smo or smth which is certain to win; a political candidate with no significant competition
en,shook,shaken | a disassembled barrel; a shock; a bundle | a disassembled barrel; a shock; a bundle
en,shoot,each other
en,shoot down,to destroy cause to fall (an aircraft)
en,shooter,a gun | smo who shoots gunman | a gunb | smo who shoots | gunmanb
en,shooting,opening fire
en,shooting iron,a gun a pistol
en,shootout,a gunfight
en,shoplifting,theft of goods from a retail establishment
en,shore,a supporting beam | to support | area of land bordering a sea or lake | a supporting beamD
en,shoreward,toward the land
en,short,a short circuit | to short-circuit | to shortchange to swindle | to sell short | not long; small; deficient
en,short list,a reduced list of candidates
en,short of,lacking wanting
en,short shrift,a quick rejection; lack of attention or consideration; a rushed sacrament of confession given to a prisoner about to be executed
en,short weight,less weight than was ordered or paid for
en,short-circuit,to create a short circuit in
en,short-handed,having insufficient staff
en,short-lived,not of long duration
en,short-staffed,having insufficient staff
en,shorten,to make short; to become short
en,shortening,action of making smth short or shorter abbreviating
en,shortfall,shortage
en,shortlisted,found on a short list
en,shortnot long; small; deficient,shorter | shortestD
en,shot,shot | varying in color | ruined worn out | an injection | a shooter | a try an attempt | a lead pellet a projectile | the act of firing a projectile; striking at a ball throwing of a ball (Sports) | a try | an attempt
en,shot to pieces,ruined destroyed | ruined | destroyed
en,shote,little pig
en,shotgun,forced compelled | firearm for firing shot | forced | compelled
en,shotgun wedding,forced marriage
en,shotten,having recently spawned (esp. of a herring)
en,shoulder,to lift onto one's shoulders | to carry a burden | a narrow edge of land along the side of a road | part of the body between the neck and the upper arm | to lift onto one's shoulders | to carry a burden
en,shoulder holster,gun pouch mounted under the shoulder
en,shout,a yell a cry | to yell to cry
en,show of hands,voting for or against a proposition (by raising hands)
en,show off,to display proudly
en,show one's horns,to reveal one's ferocious nature
en,show up,to expose as being faulty or bad | to appear; to become visible
en,showcase,to display to show
en,showdown,a final battle or confrontation; exposing the cards to determine the winner (in card game)
en,showed,shown showed
en,shower,a party at which presents are given (e.g. before marriage) | to take a shower; to pour down | a short period of rain | a bathroom showerE | a short period of rainE
en,showman,showmen
en,showmanship,the ability to present smth in an attractive manner
en,showy,flashy pompous flamboyant
en,showyflashy pompous flamboyant,showier | showiestY
en,shrank,shrunk shrunken
en,shred,to tear into pieces | a small piece a scrap a tatter | a small piece | a scrap | a tatterK |
en,shredder,paper shredder
en,shrew,a bad-tempered woman | shrewmouse a mammal resembling a mouse with a long snout
en,shrewd,severe | crafty astute
en,shrewish,nagging bad tempered faultfinding
en,shrewmouse,mammal resembling a mouse with a long snout
en,shriek,to utter a scream | a scream a screech | to utter a screamR
en,shrieval,relating to a sheriff
en,shrift,confession to a priest; absolution forgiveness
en,shrill,to shriek to utter a loud scream
en,shrink,to draw back with fear or pain | a psychiatrist | or be decreased in size or amount | a decrease in size or amount | to contract to decrease in size or amount | a decrease in size or amount
en,shrink from,to avoid to flinch from
en,shrinkage,a decrease in size or amount | a decrease in size or amountQ
en,shrinking violet,a shy person
en,shrive,shrived shrove
en,shriveled,shrunken withered sere
en,shroud,to cover to wrap in a shroud | sheet in which a body is covered for burial; smth that covers | to cover | to wrap in a shroudE |
en,shrub,a bush
en,shrubbery,area planted with shrubs
en,shuck,to remove the shuck to peel | the outer covering husk shell | to remove the shuck | to peelC
en,shucks,an expression of disappointment or irritation
en,shuffle,change reshuffle | change | reshuffle
en,shuffle off,to avoid; to remove
en,shut,closed | to close to lock | shut | to close | to lockshutshut
en,shut off,to close to turn off | to close | to turn off
en,shut out,to prevent from entering to exclude
en,shut up,cause to be quiet | to be quiet | cause to be quiet
en,shutdown,the closing of a factory turning off a system or computer
en,shutoff,a device for shutting off a valve | cessation stopping | a cessation
en,shy,to jump or start suddenly; to avoid (due to being shy) | a throw a toss | timid not having self-confidence
en,shy of,less than almost at just before
en,shyly,in a shy manner
en,shyness,quality of being shy
en,SI,International System of UnitsR
en,Siamese twins,conjoined twins
en,sib,sibling kinsman
en,Siberia,region of Russia
en,sibyllic,resembling a prophecy
en,sibylline,resembling a prophecy; cryptic
en,sic,(after a quote) so thus as appears in the original | to urge to attack | to urge to attackQ
en,Sicilia,Sicily
en,Sicily,large island in the Mediterranean
en,sick,ill affected by physical or mental disorder
en,sick and tired,sick of
en,sicken,to make sick; become sick become disgusted
en,sickener,smth disgusting
en,sickly,to make sickly | ailing; nauseating
en,sickness,a disease the state of being sick; nausea
en,Siddhartha,the name of Gautama Buddha founder of Buddhism (c. 563-483 BC)
en,side,to agree with to support; to be next to | minor additional of the side | the left or right part of an object the left or right area; space next to smo or smth; a party a group (out of several); a face a surface; an aspect a facet | to agree with | to support; to be next toF | the left or right part of an object | the left or right area; space next to smo or smth; a party | a group (out of several); a face | a surface; an aspect | a facetF |
en,side ache,intense stabbing pain under the lower edge of the ribcage
en,side arm,a pistol firearm used with one hand
en,side cramp,intense stabbing pain under the lower edge of the ribcage
en,side effect,an unwanted secondary effect
en,side stitch,intense stabbing pain under the lower edge of the ribcage
en,side with,to ally oneself with
en,side-glance,an allusion an indirect reference | a glance sideways | a glance sideways
en,sidekick,a close companion; an assistant
en,sideline,to remove from an active position (e.g. in a team); to remove from the center of attention | auxiliary activity | a boundary line
en,sideliner,smo who doesn't participate
en,sidereal,relating to the stars
en,siderosis,type of pneumoconiosis
en,sidesplitting,very funny
en,sidetrack,to distract from an immediate or important issue
en,sidewalk,pavement
en,sideward,to the side | at one side
en,SIDS,sudden infant death syndrome | sudden infant death syndromeQ |
en,siege,blockade act of surrounding a town or fortified place in order to isolate it
en,sienna,an earth color containing ferric oxides; yellowish-brown
en,Sierra Leone,country in West Africa
en,siesta,afternoon rest
en,sieve,utensil made of wire mesh and used for sifting
en,sievert,unit of dose equivalent; equivalent to 100 rems
en,sift,separate out | to examine carefully to investigate | to use a sieve to sieve
en,sigh,to utter with a sigh | an utterance made by exhaling audibly
en,sight,range of vision | a spectacle | a gunsight a viewfinder | to see to view | vision visual sense
en,sightless,cannot be seen | blind cannot see | blind | cannot see
en,sightly,sightlier sightliest | sightlier | sightliest
en,sightseer,a visitor a tourist
en,sigil,sign symbol | a seal a signet
en,Sigmund Freud,Austrian neurologist the founder of psychoanalysis (1856-1939)
en,sign,to indicate to motion to gesture | to subscribe to mark with one's signature | a symbol; a signal; a motion a gesture | an astrological symbolF
en,sign in,to register and be allowed to use a service
en,sign up,to join to register; to sign | to join | to register; to sign
en,signage,visual graphics created to display information; signs collectively
en,signaling,signalling
en,signalize,to distinguish to emphasize to point out
en,signalman,signalmen
en,significance,meaning | importance
en,significant,having meaning expressing a meaning | important having significance
en,signification,meaning sense; signifying an indication
en,signify,to indicate to mean to express | to indicate | to mean | to expressQ
en,sike,a small stream
en,Sikhism,monotheistic religion founded in northern India in the 16th century
en,sildenafil,Viagra
en,silence,to bring to silence to suppress | state of quiet | to bring to silence | to suppress
en,silent,quiet without noise taciturn
en,silent partner,a sleeping partner partner that plays no active part
en,Silesia,region of central Europe
en,Silk Road,ancient trade route connecting the Mediterranean and China
en,silkscreen,silk screen print
en,silky,silkier silkiest | silkier | silkiest
en,siller,silver
en,silly,foolish not serious; trivial | foolish lacking seriousness lightheaded | foolish | not serious; trivialsillier | silliestQ
en,sillyfoolish lacking seriousness lightheaded,sillier | silliestQ
en,silurid,freshwater catfish
en,silver bullet,a simple solution for a difficult problem
en,silver lining,a consolation a bright side | a consolation | a bright side
en,silver-tongued,eloquent
en,Sim,n Bol
en,simian,of a monkey | monkey
en,similar,resembling of the same kind | resembling | of the same kind
en,similar to,resembling like
en,similarly,in a similar way
en,Simon Bolivar,one of Spanish America's leaders in the struggle for independence (1783-1830)
en,simon-pure,genuine pure
en,simonize,simonise
en,simoom,hot desert wind (in Arabia and North
en,simple,not complicated plain; not intelligent childlike
en,simple eye,eye that consists of a single lens
en,simple sugar,monosaccharide
en,simplenot complicated plain; not intelligent childlike,simpler | simplest
en,simpleton,a fool
en,simplex,simple made of a single part; of one way communication (vs. duplex)
en,simplism,excessive simplification
en,simplistic,lacking subtlety and insight
en,simply,in a simple way plainly only
en,simulacrum,an unsatisfactory substitute | an image or representation | an unsatisfactory substitutesimulacra | simulacrums
en,simulacruman image or representation,simulacra | simulacrums
en,simulated,not genuine feigned
en,simulation,modeling representation (e.g. computer simulation); false appearance imitation
en,simulcast,to broadcast a program simultaneously (e.g. on the radio and television) | simultaneous broadcast of a program (e.g. on the radio and television) | to broadcast a program simultaneously (e.g. on the radio and television)F
en,simultaneously,at one time at the same time | at one time | at the same time
en,sin,to commit a sin | sine | violation of a religious or moral law smth regarded as wrong or shameful
en,Sinai,peninsula in east Egypt
en,Sinai Peninsula,peninsula in east Egypt
en,since,from that time until now | before once | on account of
en,sincere,earnest | truthful | not deceitful
en,sincerely,in a sincere way; way of signing off a letter
en,sincerity,quality of being sincere
en,sine die,without assigning a day for a further meeting or hearing
en,sine qua non,an essential condition
en,sinfonietta,a short symphony; a small symphony orchestra
en,sinful,not moral wicked having commited a sin | not moral | wicked | having commited a sin
en,sing,to produce melodious sounds using the voice
en,sing out,to cry out to call
en,Singaporean,an inhabitant of Singapore | relating to Singapore | relating to Singapore
en,singer,poet | songbird | smo who sings
