headword,definition
lacework,[noun] work consisting of (or resembling) lace fabric [noun.artifact]
lachaise,[noun] United States sculptor (born in France) noted for his large nude figures (1882-1935) [noun.person]
lachesis,[noun] the Greek goddess of fate who determines the length of the thread of life [noun.person]
lachnolaimus,[noun] a genus of Labridae [noun.animal]
lachnolaimus maximus,[noun] large wrasse of western Atlantic [noun.animal]
lachrymal,[adjective] of or relating to tears [adj.pert] | relating to or located near the organ that produces tears [adj.pert]
lachrymal duct,[noun] any of several small ducts that carry tears from the lacrimal glands [noun.body]
lachrymal gland,[noun] any of the glands in the eyes that secrete tears [noun.body]
lachrymal secretion,[noun] saline fluid secreted by lacrimal glands [noun.body]
lachrymation,[noun] shedding tears [noun.process]
lachrymator,[noun] a gas that makes the eyes fill with tears but does not damage them [noun.substance]
lachrymatory,[adjective] relating to or prompting tears [adj.pert]
lachrymose,[adjective] showing sorrow [adj.all]
lacing,[noun] a small amount of liquor added to a food or beverage [noun.food] | a cord that is drawn through eyelets or around hooks in order to draw together two edges (as of a shoe or garment) [noun.artifact] | the act of inflicting corporal punishment with repeated blows [noun.act]
laciniate,[adjective] having edges irregularly and finely slashed [adj.all]
lack,[noun] the state of needing something that is absent or unavailable [noun.state] | be without [verb.stative]
lackadaisical,[adjective] lacking spirit or liveliness [adj.all] | idle or indolent especially in a dreamy way [adj.all]
lackadaisically,[adverb] in an idle and lackadaisical manner [adv.all]
lackey,[noun] a male servant (especially a footman) [noun.person] | a person who tries to please someone in order to gain a personal advantage [noun.person]
lacking,[adjective] inadequate in amount or degree [adj.all] | nonexistent [adj.all]
lackluster,[adjective] lacking brilliance or vitality [adj.all] | lacking luster or shine [adj.all]
lacklustre,[adjective] lacking brilliance or vitality [adj.all] | lacking luster or shine [adj.all]
laconia,[noun] an ancient region of southern Greece in the southeastern Peloponnesus [noun.location]
laconian,[noun] a resident of Laconia [noun.person]
laconic,[adjective] brief and to the point [adj.all]
laconically,[adverb] in a dry laconic manner [adv.all]
laconicism,[noun] terseness of expression [noun.communication]
laconism,[noun] terseness of expression [noun.communication]
lacquer,[noun] a black resinous substance obtained from certain trees and used as a natural varnish [noun.substance] | a hard glossy coating [noun.artifact] | coat with lacquer [verb.creation]
lacquer tree,[noun] small Asiatic tree yielding a toxic exudate from which lacquer is obtained [noun.plant]
lacquerware,[noun] a decorative work made of wood and covered with lacquer and often inlaid with ivory or precious metals [noun.artifact]
lacrimal,[adjective] of or relating to tears [adj.pert] | relating to or located near the organ that produces tears [adj.pert]
lacrimal apparatus,[noun] the structures that secrete and drain tears from the eye [noun.body]
lacrimal artery,[noun] an artery that originates from the ophthalmic artery and supplies the lacrimal gland and rectal eye muscles and the upper eyelid and the forehead [noun.body]
lacrimal bone,[noun] small fragile bone making up part of the front inner walls of each eye socket and providing room for the passage of the lacrimal ducts [noun.body]
lacrimal duct,[noun] any of several small ducts that carry tears from the lacrimal glands [noun.body]
lacrimal gland,[noun] any of the glands in the eyes that secrete tears [noun.body]
lacrimal sac,[noun] either of the two dilated ends of the lacrimal ducts at the nasal ends of the eyes that fill with tears secreted by the lacrimal glands [noun.body]
lacrimal secretion,[noun] saline fluid secreted by lacrimal glands [noun.body]
lacrimal vein,[noun] drains the lacrimal gland [noun.body]
lacrimation,[noun] shedding tears [noun.process]
lacrimator,[noun] a gas that makes the eyes fill with tears but does not damage them [noun.substance]
lacrimatory,[adjective] relating to or prompting tears [adj.pert]
lacrosse,[noun] a game invented by American Indians [noun.act]
lacrosse ball,[noun] ball used in playing lacrosse [noun.artifact]
lacrosse player,[noun] an athlete who plays lacrosse [noun.person]
lactaid,[noun] any of a group of enzymes (trade name Lactaid) that hydrolyze lactose to glucose and galactose [noun.substance]
lactalbumin,[noun] albumin occurring in milk [noun.substance]
lactarius,[noun] large genus of agarics that have white spore and contain a white or milky juice when cut or broken [noun.plant]
lactarius delicioso,[noun] edible mushroom [noun.plant]
lactase,[noun] any of a group of enzymes (trade name Lactaid) that hydrolyze lactose to glucose and galactose [noun.substance]
lactase deficiency,[noun] congenital disorder consisting of an inability to digest milk and milk products [noun.state]
lactate,[noun] a salt or ester of lactic acid [noun.substance] | give suck to [verb.consumption]
lactating,[adjective] producing or secreting milk [adj.all]
lactation,[noun] the period following birth during which milk is secreted [noun.time] | the production and secretion of milk by the mammary glands [noun.process] | feeding an infant by giving suck at the breast [noun.act]
lacteal,[noun] any of the lymphatic vessels that convey chyle from the small intestine to the thoracic duct [noun.body] | relating to or consisting of or producing or resembling milk [adj.pert]
lactic,[adjective] of or relating to or obtained from milk (especially sour milk or whey) [adj.pert]
lactic acid,[noun] a clear odorless hygroscopic syrupy carboxylic acid found in sour milk and in many fruits [noun.substance]
lactiferous duct,[noun] ducts of the mammary gland that carry milk to the nipple [noun.body]
lactifuge,[noun] any agent that reduces milk secretion (as given to a woman who is not breast feeding) [noun.substance]
lactobacillaceae,[noun] lactic acid bacteria and important pathogens [noun.animal]
lactobacillus,[noun] a Gram-positive rod-shaped bacterium that produces lactic acid (especially in milk) [noun.animal]
lactobacillus acidophilus,[noun] a bacterium that is used to make yogurt and to supplement probiotics [noun.animal]
lactobacteriaceae,[noun] lactic acid bacteria and important pathogens [noun.animal]
lactoflavin,[noun] a B vitamin that prevents skin lesions and weight loss [noun.substance]
lactogen,[noun] any agent that enhances milk production [noun.substance]
lactogenic,[adjective] inducing lactation [adj.pert]
lactogenic hormone,[noun] gonadotropic hormone secreted by the anterior pituitary [noun.substance]
lactophrys,[noun] a genus of Ostraciidae [noun.animal]
lactophrys quadricornis,[noun] trunkfish having hornlike spines over the eyes [noun.animal]
lactose,[noun] a sugar comprising one glucose molecule linked to a galactose molecule [noun.substance]
lactose intolerance,[noun] congenital disorder consisting of an inability to digest milk and milk products [noun.state]
lactosuria,[noun] presence of lactose in the urine [noun.state]
lactuca,[noun] an herb with milky juice: lettuce [noun.plant]
lactuca sativa,[noun] annual or perennial garden plant having succulent leaves used in salads [noun.plant]
lactuca sativa asparagina,[noun] lettuce valued especially for its edible stems [noun.plant]
lactuca sativa capitata,[noun] distinguished by leaves arranged in a dense rosette that develop into a compact ball [noun.plant]
lactuca sativa crispa,[noun] distinguished by leaves having curled or incised leaves forming a loose rosette that does not develop into a compact head [noun.plant]
lactuca sativa longifolia,[noun] lettuce with long dark-green spoon-shaped leaves [noun.plant]
lactuca scariola,[noun] European annual wild lettuce having prickly stems [noun.plant]
lactuca serriola,[noun] European annual wild lettuce having prickly stems [noun.plant]
lacuna,[noun] a blank gap or missing part [noun.artifact] | an ornamental sunken panel in a ceiling or dome [noun.artifact]
lacustrine,[adjective] of or relating to or living near lakes [adj.pert]
lacy,[adjective] made of or resembling lace [adj.all] | having open interstices or resembling a web [adj.all]
lad,[noun] a boy or man [noun.person] | a male child (a familiar term of address to a boy) [noun.person]
lad's love,[noun] aromatic herb of temperate Eurasia and North Africa having a bitter taste used in making the liqueur absinthe [noun.plant]
ladanum,[noun] a soft blackish-brown resinous exudate from various rockroses used in perfumes especially as a fixative [noun.plant]
ladder,[noun] steps consisting of two parallel members connected by rungs [noun.artifact] | ascending stages by which somebody or something can progress [noun.state] | a row of unravelled stitches [noun.event] | come unraveled or undone as if by snagging [verb.change]
ladder truck,[noun] a fire engine carrying ladders [noun.artifact]
ladder-back,[noun] a chair with a ladder-back [noun.artifact] | the backrest of a chair that consists of two uprights with connecting slats [noun.artifact]
ladder-back chair,[noun] a chair with a ladder-back [noun.artifact]
ladder-proof,[adjective] (of hosiery) resistant to runs or (in Britain) ladders [adj.all]
laddie,[noun] a male child (a familiar term of address to a boy) [noun.person]
lade,[adjective] filled with a great quantity [adj.all] (irregular form of: laden) | [verb] remove with or as if with a ladle [verb.contact] | fill or place a load on [verb.contact]
laden,[verb] remove with or as if with a ladle [verb.contact] | fill or place a load on [verb.contact] | filled with a great quantity [adj.all] | burdened psychologically or mentally [adj.all]
ladened,[adjective] filled with a great quantity [adj.all]
ladies' man,[noun] a man who takes advantage of women [noun.person]
ladies' room,[noun] a woman's restroom in a public (or semipublic) building [noun.artifact]
ladies' slipper,[noun] any of several chiefly American wildflowers having an inflated pouchlike lip [noun.plant]
ladies' tobacco,[noun] North American perennial propagated by means of runners [noun.plant]
ladies' tresses,[noun] an orchid of the genus Spiranthes having slender often twisted spikes of white flowers [noun.plant]
ladies'-eardrop,[noun] erect or climbing shrub of Brazil with deep pink to red flowers [noun.plant]
ladies'-eardrops,[noun] erect or climbing shrub of Brazil with deep pink to red flowers [noun.plant]
ladin,[noun] a Rhaeto-Romance dialect of Romansh spoken in southeastern Switzerland [noun.communication]
lading,[noun] goods carried by a large vehicle [noun.artifact]
ladino,[noun] a person of mixed racial ancestry (especially mixed European and Native American ancestry) [noun.person] | the Spanish dialect spoken by Sephardic Jews but written in the Hebrew script [noun.communication]
ladle,[noun] a spoon-shaped vessel with a long handle [noun.artifact] | put (a liquid) into a container by means of a ladle [verb.contact] | remove with or as if with a ladle [verb.contact]
ladoga,[noun] a lake in northwestern Russia to the north of St. Petersburg [noun.object]
ladrone islands,[noun] a chain of coral and volcanic islands in Micronesia (including Guam and the Northern Marianas) halfway between New Guinea and Japan [noun.location]
lady,[noun] a polite name for any woman [noun.person] | a woman of refinement [noun.person] | a woman of the peerage in Britain [noun.person]
lady beetle,[noun] small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests [noun.animal]
lady chapel,[noun] a small chapel in a church [noun.artifact]
lady crab,[noun] brightly spotted crab of sandy beaches of the Atlantic coast of the United States [noun.animal]
lady day,[noun] a festival commemorating the announcement of the Incarnation by the angel Gabriel to the Virgin Mary [noun.time]
lady diana frances spencer,[noun] English aristocrat who was the first wife of Prince Charles [noun.person]
lady emma hamilton,[noun] English beauty who was the mistress of Admiral Nelson (1765-1815) [noun.person]
lady fern,[noun] most widely grown fern of the genus Athyrium for its delicate foliage [noun.plant]
lady friend,[noun] a girl or young woman with whom a man is romantically involved [noun.person]
lady godiva,[noun] according to legend she rode naked through Coventry in order to persuade her husband not to tax the townspeople so heavily [noun.person]
lady jane grey,[noun] Queen of England for nine days in 1553 [noun.person]
lady killer,[noun] a man who takes advantage of women [noun.person]
lady of the house,[noun] a wife who manages a household while her husband earns the family income [noun.person]
lady palm,[noun] any of several small palms of the genus Rhapis [noun.plant]
lady peel,[noun] British actress (born in Canada) (1898-1989) [noun.person]
lady tulip,[noun] Eurasian tulip with small flowers blotched at the base [noun.plant]
lady with the lamp,[noun] English nurse remembered for her work during the Crimean War (1820-1910) [noun.person]
lady's earrings,[noun] North American annual plant with usually yellow or orange flowers [noun.plant]
lady's laces,[noun] perennial grass of marshy meadows and ditches having broad leaves [noun.plant]
lady's leek,[noun] widely distributed North American wild onion with white to rose flowers [noun.plant]
lady's maid,[noun] a maid who is a lady's personal attendant [noun.person]
lady's slipper,[noun] any of several chiefly American wildflowers having an inflated pouchlike lip [noun.plant]
lady's smock,[noun] a bitter cress of Europe and America [noun.plant]
lady's thistle,[noun] tall Old World biennial thistle with large clasping white-blotched leaves and purple flower heads [noun.plant]
lady's tobacco,[noun] North American perennial propagated by means of runners [noun.plant]
lady's tresses,[noun] an orchid of the genus Spiranthes having slender often twisted spikes of white flowers [noun.plant]
lady's-eardrop,[noun] erect or climbing shrub of Brazil with deep pink to red flowers [noun.plant]
lady's-eardrops,[noun] erect or climbing shrub of Brazil with deep pink to red flowers [noun.plant]
lady's-finger,[noun] tall coarse annual of Old World tropics widely cultivated in southern United States and West Indies for its long mucilaginous green pods used as basis for soups and stews [noun.plant]
lady-in-waiting,[noun] a lady appointed to attend to a queen or princess [noun.person]
lady-of-the-night,[noun] West Indian shrub with fragrant showy yellowish-white flowers [noun.plant]
lady-slipper,[noun] any of several chiefly American wildflowers having an inflated pouchlike lip [noun.plant]
ladybeetle,[noun] small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests [noun.animal]
ladybird,[noun] small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests [noun.animal]
ladybird beetle,[noun] small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests [noun.animal]
ladybug,[noun] small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests [noun.animal]
ladyfinger,[noun] small finger-shaped sponge cake [noun.food]
ladyfish,[noun] game fish resembling the tarpon but smaller [noun.animal]
ladylike,[adjective] befitting a woman of good breeding [adj.all]
ladylikeness,[noun] behavior befitting a lady [noun.attribute]
ladylove,[noun] a woman who is a man's sweetheart [noun.person]
ladyship,[noun] a title used to address any peeress except a duchess [noun.communication]
laelia,[noun] any of various spectacular plants of the genus Laelia having showy flowers in many colors [noun.plant]
laertes,[noun] (Greek mythology) the father of Odysseus [noun.person]
laetrile,[noun] a substance derived from amygdalin [noun.substance]
laevulose,[noun] a simple sugar found in honey and in many ripe fruits [noun.substance]
lafayette,[noun] French soldier who served under George Washington in the American Revolution (1757-1834) [noun.person] | a town in south central Louisiana [noun.location] | a university town in west central Indiana on the Wabash River [noun.location]
laffer,[noun] United States economist who proposed the Laffer curve (born in 1940) [noun.person]
laffer curve,[noun] a graph purporting to show the relation between tax rates and government income [noun.communication]
laffite,[noun] French pirate who aided the United States in the War of 1812 and received an official pardon for his crimes (1780-1826) [noun.person]
lafitte,[noun] French pirate who aided the United States in the War of 1812 and received an official pardon for his crimes (1780-1826) [noun.person]
lafora's disease,[noun] epilepsy characterized by clonus of muscle groups and progressive mental deterioration and genetic origin [noun.state]
lag,"[noun] the act of slowing down or falling behind [noun.act] | the time between one event, process, or period and another [noun.time] | one of several thin slats of wood forming the sides of a barrel or bucket [noun.artifact] | hang (back) or fall (behind) in movement, progress, development, etc. [verb.motion] | throw or pitch at a mark, as with coins [verb.contact] | cover with lagging to prevent heat loss [verb.contact]"
lag b'omer,[noun] (Judaism) Jewish holy day [noun.time]
lag bolt,[noun] a heavy woodscrew with a square or hexagonal head that is driven in with a wrench [noun.artifact]
lag screw,[noun] a heavy woodscrew with a square or hexagonal head that is driven in with a wrench [noun.artifact]
lagan,[noun] goods (or wreckage) on the sea bed that is attached to a buoy so that it can be recovered [noun.artifact]
lagarostrobus,[noun] genus of dioecious evergreen trees of New Zealand and Tasmania [noun.plant]
lagarostrobus colensoi,[noun] timber tree of New Zealand having shiny white wood [noun.plant]
lagarostrobus franklinii,[noun] Tasmanian timber tree with yellow aromatic wavy-grained wood used for carving and ship building [noun.plant]
lagenaria,[noun] bottle gourds [noun.plant]
lagenaria siceraria,[noun] Old World climbing plant with hard-shelled bottle-shaped gourds as fruits [noun.plant]
lagend,[noun] goods (or wreckage) on the sea bed that is attached to a buoy so that it can be recovered [noun.artifact]
lagenophera,[noun] small genus of herbs of Australia and South America having small solitary white or purple flowers similar to true daisies of genus Bellis [noun.plant]
lager,[noun] a camp defended by a circular formation of wagons [noun.artifact] | a general term for beer made with bottom fermenting yeast (usually by decoction mashing) [noun.food]
lager beer,[noun] a general term for beer made with bottom fermenting yeast (usually by decoction mashing) [noun.food]
lagerphone,[noun] an Australian percussion instrument used for playing bush music [noun.artifact]
lagerstroemia,"[noun] shrubs or small trees of tropical Asia and Africa usually with showy white, pink, or purplish flowers [noun.plant]"
lagerstroemia indica,[noun] ornamental shrub from eastern India commonly planted in the southern United States [noun.plant]
lagerstroemia speciosa,"[noun] native to Asia, Australia, and East Indies, where it provides timber called pyinma [noun.plant]"
laggard,[noun] someone who takes more time than necessary [noun.person] | wasting time [adj.all]
lagger,[noun] someone who takes more time than necessary [noun.person]
lagging,[noun] used to wrap around pipes or boilers or laid in attics to prevent loss of heat [noun.substance]
lagidium,[noun] a genus of Chinchillidae [noun.animal]
lagniappe,[noun] a small gift (especially one given by a merchant to a customer who makes a purchase) [noun.possession]
lagodon,[noun] a genus of Sparidae [noun.animal]
lagodon rhomboides,[noun] similar to sea bream [noun.animal]
lagomorph,[noun] relative large gnawing animals [noun.animal]
lagomorpha,[noun] rabbits [noun.animal]
lagoon,[noun] a body of water cut off from a larger body by a reef of sand or coral [noun.object]
lagophthalmos,[noun] abnormal condition in which an eye cannot close completely [noun.state]
lagopus,[noun] ptarmigans [noun.animal]
lagopus scoticus,[noun] reddish-brown grouse of upland moors of Great Britain [noun.animal]
lagorchestes,[noun] hare wallabies [noun.animal]
lagos,[noun] chief port and economic center of Nigeria [noun.location]
lagostomus,[noun] viscachas [noun.animal]
lagostomus maximus,[noun] gregarious burrowing rodent larger than the chinchillas [noun.animal]
lagothrix,[noun] woolly monkeys [noun.animal]
laguna,[noun] a body of water cut off from a larger body by a reef of sand or coral [noun.object]
laguncularia,[noun] a genus of Laguncularia [noun.plant]
laguncularia racemosa,[noun] shrub to moderately large tree that grows in brackish water along the seacoasts of western Africa and tropical America [noun.plant]
lagune,[noun] a body of water cut off from a larger body by a reef of sand or coral [noun.object]
lah,[noun] the syllable naming the sixth (submediant) note of a major or minor scale in solmization [noun.communication]
lahar,[noun] an avalanche of volcanic water and mud down the slopes of a volcano [noun.event]
lahore,[noun] city in northeast Pakistan [noun.location]
lahu,[noun] a Loloish language [noun.communication]
laic,[adjective] characteristic of those who are not members of the clergy [adj.all]
laicise,[verb] reduce to lay status [verb.change]
laicize,[verb] reduce to lay status [verb.change]
laid,"[adjective] set down according to a plan:""a carefully laid table with places set for four people"" [adj.all]"
laid low,[adjective] put out of action (by illness) [adj.all]
laid paper,[noun] writing paper having a watermark of fine lines running across the grain [noun.substance]
laid up,[adjective] ill and usually confined [adj.all]
laid-back,[adjective] unhurried and relaxed [adj.all]
laid-off,[adjective] having lost your job [adj.all]
lair,[noun] the habitation of wild animals [noun.location]
laird,[noun] a landowner [noun.person]
laissez faire,[noun] the doctrine that government should not interfere in commercial affairs [noun.cognition]
laissez passer,[noun] a document indicating permission to do something without restrictions [noun.communication]
laissez-faire,[adjective] with minimally restricted freedom in commerce [adj.all]
laissez-faire economy,[noun] an economy that relies chiefly on market forces to allocate goods and resources and to determine prices [noun.group]
laity,"[noun] in Christianity, members of a religious community that do not have the priestly responsibilities of ordained clergy [noun.group]"
laius,[noun] (Greek mythology) king of Thebes who was unwittingly killed by his son Oedipus [noun.person]
lake,[noun] a body of (usually fresh) water surrounded by land [noun.object] | a purplish red pigment prepared from lac or cochineal [noun.substance] | any of numerous bright translucent organic pigments [noun.substance]
lake albert,[noun] a shallow lake on the border between Uganda and Congo in the Great Rift Valley [noun.object]
lake albert nyanza,[noun] a shallow lake on the border between Uganda and Congo in the Great Rift Valley [noun.object]
lake aral,[noun] a lake to the east of the Caspian Sea lying between Kazakhstan and Uzbekistan [noun.object]
lake baikal,[noun] the largest freshwater lake in Asia or Europe and the deepest lake in the world [noun.object]
lake balaton,[noun] a large shallow lake in western Hungary [noun.object]
lake baykal,[noun] the largest freshwater lake in Asia or Europe and the deepest lake in the world [noun.object]
lake bed,[noun] the bottom of a lake [noun.object]
lake bottom,[noun] the bottom of a lake [noun.object]
lake canandaigua,[noun] a glacial lake in central New York [noun.object]
lake cayuga,[noun] a glacial lake in central New York [noun.object]
lake chad,[noun] a lake in north central Africa [noun.object]
lake champlain,"[noun] a lake in northeastern New York, northwestern Vermont and southern Quebec [noun.object]"
lake chelan,[noun] a narrow very deep lake in central Washington in the Cascade Range [noun.object]
lake clark national park,[noun] a national park in Alaska having Eskimo and Athapaskan archeological sites [noun.location]
lake constance,[noun] a lake in southeastern Germany on the northern side of the Swiss Alps [noun.object]
lake district,[noun] a popular tourist area in northwestern England including England's largest lake and highest mountain [noun.location]
lake duck,[noun] common scaup of North America [noun.animal]
lake dwelling,[noun] dwelling built on piles in or near a lake [noun.artifact]
lake edward,[noun] a lake in the Great Rift Valley between Congo and Uganda [noun.object]
lake erie,[noun] the 4th largest of the Great Lakes [noun.object]
lake eyre,[noun] a shallow salt lake in south central Australia about 35 feet below sea level [noun.object]
lake geneva,[noun] a lake between southwestern Switzerland and France that is crossed from east to west by the Rhone [noun.object]
lake herring,[noun] cold-water fish caught in Lake Superior and northward [noun.food] | important food fish of cold deep lakes of North America [noun.animal]
lake huron,[noun] the 2nd largest of the Great Lakes [noun.object]
lake ilmen,[noun] a lake in northwestern Russia [noun.object]
lake keuka,[noun] a glacial lake in central New York [noun.object]
lake kivu,[noun] a lake in the mountains of central Africa between Congo and Rwanda [noun.object]
lake ladoga,[noun] a lake in northwestern Russia to the north of St. Petersburg [noun.object]
lake leman,[noun] a lake between southwestern Switzerland and France that is crossed from east to west by the Rhone [noun.object]
lake malawi,"[noun] a long lake in southeastern Africa between Tanzania, Mozambique, and Malawi [noun.object]"
lake mead,[noun] the largest reservoir in the United States [noun.artifact]
lake michigan,[noun] the 3rd largest of the Great Lakes [noun.object]
lake nasser,[noun] lake in Egypt formed by dams built on the Nile River at Aswan [noun.object]
lake nyasa,"[noun] a long lake in southeastern Africa between Tanzania, Mozambique, and Malawi [noun.object]"
lake okeechobee,[noun] a lake in southeast Florida to the north of the Everglades [noun.object]
lake onega,[noun] lake in northwestern Russia near the border with Finland [noun.object]
lake ontario,[noun] the smallest of the Great Lakes [noun.object]
lake poets,[noun] English poets at the beginning of the 19th century who lived in the Lake District and were inspired by it [noun.group]
lake powell,[noun] the second largest reservoir in the United States [noun.artifact]
lake saint clair,[noun] a lake between Ontario and Michigan [noun.object]
lake salmon,[noun] Atlantic salmon confined to lakes of New England and southeastern Canada [noun.animal]
lake seneca,[noun] a glacial lake in central New York [noun.object]
lake st. clair,[noun] a lake between Ontario and Michigan [noun.object]
lake superior,[noun] the largest freshwater lake in the world [noun.object]
lake tahoe,[noun] a lake on the border between Nevada and California to the west of Carson City [noun.object]
lake tana,[noun] a lake in northern Ethiopia [noun.object]
lake tanganyika,[noun] the longest lake in the world in central Africa between Tanzania and Congo in the Great Rift Valley [noun.object]
lake trasimenus,[noun] a battle in 217 BC in which Hannibal ambushed a Roman army led by Flaminius [noun.act]
lake trout,[noun] flesh of large trout of northern lakes [noun.food] | large fork-tailed trout of lakes of Canada and the northern United States [noun.animal]
lake tsana,[noun] a lake in northern Ethiopia [noun.object]
lake urmia,[noun] a shallow saline lake in northwestern Iran between Tabriz and the western border of Turkey [noun.object]
lake vanern,[noun] a lake in southwestern Sweden [noun.object]
lake victoria,[noun] the largest lake in Africa and the 2nd largest fresh water lake in the world [noun.object]
lake volta,[noun] the Volta river in southeastern has been dammed to create one of the world's largest man-made lakes [noun.artifact]
lake whitefish,[noun] found in the Great Lakes and north to Alaska [noun.animal]
lake winnipeg,[noun] a lake in southern Canada in Manitoba [noun.object]
lakefront,[noun] land bordering a lake [noun.object]
lakeland,[noun] a popular tourist area in northwestern England including England's largest lake and highest mountain [noun.location]
lakeland terrier,[noun] breed of wire-haired terrier originally from the Lake District of England and used for hunting [noun.animal]
lakeshore,[noun] the shore of a lake [noun.object]
lakeside,[noun] the shore of a lake [noun.object]
lakh,[noun] the cardinal number that is the fifth power of ten [noun.quantity]
lakota,[noun] a member of the large western branch of Sioux people which was made up of several groups that lived on the plains [noun.person]
lakshmi,[noun] Hindu goddess of fortune and prosperity [noun.person]
lallans,[noun] a dialect of English spoken in the Lowlands of Scotland [noun.communication]
lallation,[noun] defective articulation of the `l' phoneme or the phoneme `r' is pronounced as `l' [noun.state] | gibberish resembling the sounds of a baby [noun.communication]
lally,[noun] support column consisting of a steel cylinder filled with concrete [noun.artifact]
lally column,[noun] support column consisting of a steel cylinder filled with concrete [noun.artifact]
lalthyrus tingitanus,[noun] North African annual resembling the sweet pea having showy but odorless flowers [noun.plant]
lam,[noun] a rapid escape (as by criminals) [noun.act] | give a thrashing to [verb.contact]
lam into,"[verb] hit violently, as in an attack [verb.contact]"
lama,[noun] a Tibetan or Mongolian priest of Lamaism [noun.person] | llamas [noun.animal]
lama guanicoe,[noun] wild llama [noun.animal]
lama pacos,[noun] domesticated llama with long silky fleece [noun.animal]
lama peruana,[noun] used in the Andes as a beast of burden and source of wool [noun.animal]
lamaism,[noun] a Buddhist doctrine that includes elements from India that are not Buddhist and elements of preexisting shamanism [noun.cognition]
lamaist,[noun] (Buddhism) an adherent of Lamaism [noun.person]
lamarck,[noun] French naturalist who proposed that evolution resulted from the inheritance of acquired characteristics (1744-1829) [noun.person]
lamarckian,[noun] a believer in Lamarckism [noun.person] | of or relating to Lamarckism [adj.pert]
lamarckism,[noun] a theory of organic evolution claiming that acquired characteristics are transmitted to offspring [noun.cognition]
lamasery,[noun] a monastery for lamas [noun.artifact]
lamaze method,[noun] a method that prepares a mother for natural childbirth [noun.process]
lamaze method of childbirth,[noun] a method that prepares a mother for natural childbirth [noun.process]
lamb,[noun] young sheep [noun.animal] | English essayist (1775-1834) [noun.person] | a person easily deceived or cheated (especially in financial matters) [noun.person] | a sweet innocent mild-mannered person (especially a child) [noun.person] | the flesh of a young domestic sheep eaten as food [noun.food] | give birth to a lamb [verb.body]
lamb chop,[noun] chop cut from a lamb [noun.food]
lamb curry,[noun] curry made with lamb [noun.food]
lamb roast,[noun] a cut of lamb suitable for roasting [noun.food]
lamb succory,[noun] small European herb with small yellow flowers [noun.plant]
lamb's lettuce,[noun] widely cultivated as a salad crop and pot herb [noun.plant]
lamb's-quarter,[noun] leaves collected from the wild [noun.food]
lamb's-quarters,[noun] common weedy European plant introduced into North America [noun.plant]
lamb-chop,[noun] chop cut from a lamb [noun.food]
lambast,[verb] beat with a cane [verb.contact] | censure severely or angrily [verb.communication]
lambaste,[verb] beat with a cane [verb.contact] | censure severely or angrily [verb.communication]
lambchop,[noun] chop cut from a lamb [noun.food]
lambda,[noun] the 11th letter of the Greek alphabet [noun.communication] | the craniometric point at the junction of the sagittal and lamboid sutures of the skull [noun.body]
lambda hyperon,[noun] an electrically neutral baryon with isotopic spin 1 [noun.object]
lambda particle,[noun] an electrically neutral baryon with isotopic spin 1 [noun.object]
lambdacism,[noun] speech defect involving excessive use or unusual pronunciation of the phoneme `l' [noun.state]
lambency,[noun] an appearance of reflected light [noun.attribute]
lambent,[adjective] softly bright or radiant [adj.all]
lambert,[noun] a cgs unit of illumination equal to the brightness of a perfectly diffusing surface that emits or reflects one lumen per square centimeter [noun.quantity] | English composer and conductor (1905-1951) [noun.person]
lambert-eaton syndrome,[noun] a disease seen in patients with lung cancer and characterized by weakness and fatigue of hip and thigh muscles and an aching back [noun.state]
lambertia,[noun] small genus of Australian shrubs [noun.plant]
lambertia formosa,[noun] erect bushy shrub of eastern Australia having terminal clusters of red flowers yielding much nectar [noun.plant]
lambis,[noun] scorpion shells of shallow tropical waters of the eastern hemisphere [noun.animal]
lambkill,[noun] North American dwarf shrub resembling mountain laurel but having narrower leaves and small red flowers [noun.plant]
lambkin,[noun] a very young lamb [noun.animal]
lamblike,[adjective] like a lamb in meekness and gentleness [adj.all]
lamboid suture,[noun] the suture between the occipital and parietal bones [noun.body]
lambrequin,[noun] a scarf that covers a knight's helmet [noun.artifact] | short and decorative hanging for a shelf edge or top of a window casing [noun.artifact]
lambskin,[noun] the skin of a lamb with the wool still on [noun.substance] | skin of a sheep or goat prepared for writing on [noun.substance]
lame,"[noun] someone who doesn't understand what is going on [noun.person] | a fabric interwoven with threads of metal [noun.artifact] | deprive of the use of a limb, especially a leg [verb.body] | pathetically lacking in force or effectiveness [adj.all] | disabled in the feet or legs [adj.all]"
lame duck,[noun] an elected official still in office but not slated to continue [noun.person]
lamedh,[noun] the 12th letter of the Hebrew alphabet [noun.communication]
lamella,[noun] any of the radiating leaflike spore-producing structures on the underside of the cap of a mushroom or similar fungus [noun.plant] | a thin membrane that is one of the calcified layers that form bones [noun.body] | thin plate [noun.artifact]
lamellar mixture,[noun] a mixture in which substances occur in distinct layers [noun.substance]
lamellate placentation,[noun] with ovules on thin extensions of the placentae into a compound ovary [noun.plant]
lamellibranch,[noun] marine or freshwater mollusks having a soft body with platelike gills enclosed within two shells hinged together [noun.animal] | bivalve [adj.all]
